radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,624,2,65298,36081,0,11.540858,3.873927,1721,54,1,1337360678,1358507513,0
GSM,624,2,18,36081,0,11.541651,3.874223,12859,403,1,1337360759,1363241759,0
GSM,624,2,18,91,0,11.541484,3.874638,3542,295,1,1337360875,1363241771,0
GSM,624,2,18,93,0,11.539764,3.875396,3492,264,1,1337360875,1363160114,0
GSM,624,2,18,36444,0,11.543142,3.877451,4222,581,1,1337360875,1408433870,0
GSM,624,2,18,37161,0,11.536518,3.877056,5051,471,1,1337360875,1408433870,0
GSM,624,2,65298,91,0,11.539749,3.873215,1575,45,1,1337361200,1356610092,0
GSM,624,2,18,36082,0,11.538728,3.87103,12691,302,1,1337361200,1363525447,0
GSM,624,2,18,36083,0,11.540099,3.875309,2432,324,1,1337361200,1363160114,0
GSM,624,2,18,92,0,11.539116,3.872599,3200,218,1,1337361200,1363241771,0
GSM,624,2,18,36131,0,11.533207,3.86918,3354,568,1,1337361200,1363575020,0
GSM,624,2,18,36133,0,11.530092,3.868783,5014,1107,1,1337364361,1363533890,0
GSM,624,2,18,9213,0,11.530167,3.867997,3301,706,1,1337364517,1363533881,0
GSM,624,2,18,37162,0,11.530323,3.870259,4850,897,1,1337364517,1408433870,0
GSM,624,2,18,9932,0,11.53017,3.870539,4459,599,1,1337364517,1453901642,0
GSM,624,2,18,36492,0,11.533603,3.867709,4919,627,1,1337364517,1363576257,0
GSM,624,2,17,35062,0,11.529447,3.869301,8368,310,1,1337364517,1361982346,0
GSM,624,2,21,36401,0,11.539946,3.856196,3292,381,1,1337364634,1382330425,0
GSM,624,2,18,36132,0,11.532547,3.865233,4668,908,1,1337364848,1363659623,0
GSM,624,2,18,9212,0,11.531049,3.866705,3879,563,1,1337364848,1363701142,0
GSM,624,2,18,37071,0,11.552743,3.852448,4143,163,1,1337364947,1360680130,0
GSM,624,2,18,36502,0,11.552324,3.850411,4364,127,1,1337365129,1361616623,0
GSM,624,2,21,4246,0,11.540135,3.858266,2495,274,1,1337365177,1467698553,0
GSM,624,2,21,36403,0,11.529576,3.861943,6220,706,1,1337365177,1408433870,0
GSM,624,2,21,9741,0,11.555436,3.852639,4345,395,1,1337365506,1451999446,0
GSM,624,2,18,9841,0,11.551885,3.851216,4560,138,1,1337365506,1361616623,0
GSM,624,2,18,9492,0,11.553258,3.850927,4048,132,1,1337365506,1360948361,0
GSM,624,2,18,37072,0,11.550315,3.850813,2877,137,1,1337365506,1361267412,0
GSM,624,2,18,9842,0,11.54901,3.851087,3674,116,1,1337365506,1360287801,0
GSM,624,2,21,9621,0,11.576688,3.854146,8258,297,1,1337365560,1452090197,0
GSM,624,2,21,9623,0,11.55553,3.851733,5650,349,1,1337365669,1451999446,0
GSM,624,2,21,36713,0,11.552985,3.853059,10740,449,1,1337365669,1451999446,0
GSM,624,2,21,36171,0,11.559936,3.851745,4809,212,1,1337365669,1419153825,0
GSM,624,2,18,36762,0,11.583665,3.85364,7524,293,1,1337365940,1362034311,0
GSM,624,2,18,9192,0,11.585458,3.854812,6711,260,1,1337365961,1356792387,0
GSM,624,2,21,36711,0,11.566792,3.852627,2963,127,1,1337366161,1419129195,0
GSM,624,2,21,37323,0,11.574996,3.852942,3084,71,1,1337366161,1362023786,0
GSM,624,2,21,36981,0,11.554676,3.854536,15960,650,1,1337366161,1419154429,0
GSM,624,2,21,10092,0,11.582451,3.853073,2990,36,1,1337366161,1348738685,0
GSM,624,2,21,10091,0,11.58622,3.8522,7298,116,1,1337366336,1349448340,0
GSM,624,2,21,37321,0,11.585698,3.852504,6764,229,1,1337366336,1362034311,0
GSM,624,2,18,36763,0,11.570782,3.859427,8182,139,1,1337366336,1360948361,0
GSM,624,2,21,37322,0,11.584148,3.852348,11047,72,1,1337366669,1362034611,0
GSM,624,2,18,9562,0,11.572964,3.862004,4929,302,1,1337376493,1357368775,0
GSM,624,2,18,9792,0,11.575969,3.858796,3853,95,1,1337376493,1354104651,0
GSM,624,2,21,37001,0,11.594637,3.803571,11598,331,1,1337376806,1382544665,0
GSM,624,2,18,9193,0,11.581233,3.854611,7756,79,1,1337377440,1356792687,0
GSM,624,2,18,9191,0,11.592923,3.854579,11764,110,1,1337377440,1362034311,0
GSM,624,2,21,36712,0,11.559386,3.845956,5157,151,1,1337377480,1424322370,0
GSM,624,2,19,10143,0,11.529832,3.859261,4372,239,1,1337378107,1363312583,0
GSM,624,2,65298,9842,0,11.546173,3.853912,2377,6,1,1337378229,1357303651,0
GSM,624,2,65298,9843,0,11.546631,3.849531,2678,14,1,1337378229,1360070569,0
GSM,624,2,18,37172,0,11.554889,3.865799,2982,483,1,1337378229,1362035253,0
GSM,624,2,65299,10143,0,11.5285,3.858187,2434,37,1,1337378364,1359367490,0
GSM,624,2,19,122,0,11.519718,3.858351,3945,1352,1,1337378396,1479719084,0
GSM,624,2,19,10142,0,11.530696,3.856462,3575,213,1,1337378543,1362023180,0
GSM,624,2,19,10141,0,11.533478,3.860564,2513,167,1,1337378543,1363500563,0
GSM,624,2,20,36523,0,11.501999,3.847032,3028,85,1,1337378723,1362807595,0
GSM,624,2,19,9582,0,11.518615,3.85612,4716,1218,1,1337378858,1484235966,0
GSM,624,2,19,37102,0,11.522476,3.858828,4479,1334,1,1337378858,1408433870,0
GSM,624,2,19,9872,0,11.521503,3.859035,3965,1330,1,1337378858,1448462349,0
GSM,624,2,19,35042,0,11.519644,3.858214,3939,1445,1,1337378858,1408433870,0
GSM,624,2,21,4262,0,11.514574,3.844655,3784,389,1,1337378977,1363570768,0
GSM,624,2,20,9523,0,11.503135,3.846588,3290,58,1,1337379171,1359724295,0
GSM,624,2,20,36223,0,11.496668,3.843643,4915,76,1,1337379171,1361718016,0
GSM,624,2,20,36522,0,11.50357,3.842365,4147,139,1,1337379171,1363696888,0
GSM,624,2,20,36521,0,11.504789,3.84744,3876,125,1,1337379171,1363696877,0
GSM,624,2,21,36061,0,11.516924,3.848533,14044,500,1,1337379484,1363501770,0
GSM,624,2,21,36063,0,11.513729,3.847085,9978,491,1,1337379484,1363570771,0
GSM,624,2,21,4263,0,11.513888,3.847007,13345,333,1,1337379484,1363501770,0
GSM,624,2,21,37121,0,11.514411,3.84718,13728,520,1,1337379484,1363570771,0
GSM,624,2,19,36482,0,11.528572,3.868904,5839,1099,1,1337418696,1361982346,0
GSM,624,2,18,9482,0,11.533563,3.866239,7697,776,1,1337418696,1363575020,0
GSM,624,2,18,9211,0,11.533709,3.868737,3258,398,1,1337418696,1363533890,0
GSM,624,2,18,10173,0,11.534053,3.866009,10140,704,1,1337423055,1363263270,0
GSM,624,2,65298,9211,0,11.530838,3.866776,1430,5,1,1337427766,1347297001,0
GSM,624,2,19,193,0,11.518172,3.865139,3457,493,1,1337428696,1479183237,0
GSM,624,2,19,9602,0,11.517673,3.867653,8196,1163,1,1337432794,1478705145,0
GSM,624,2,19,36692,0,11.518471,3.865608,18574,1219,1,1337432827,1382954427,0
GSM,624,2,19,9603,0,11.517641,3.867833,18350,1550,1,1337433002,1478705145,0
GSM,624,2,19,35002,0,11.517622,3.866803,13163,1823,1,1337433002,1423031916,0
GSM,624,2,19,36693,0,11.517242,3.8683,18309,2000,1,1337433002,1383099009,0
GSM,624,2,19,35051,0,11.515913,3.866084,4610,973,1,1337433002,1383099984,0
GSM,624,2,19,9601,0,11.517716,3.867595,18270,344,1,1337433002,1478747124,0
GSM,624,2,19,35053,0,11.511474,3.866017,3528,258,1,1337433175,1382928452,0
GSM,624,2,19,32,0,11.5179,3.867002,18435,1598,1,1337433330,1478705145,0
GSM,624,2,19,36033,0,11.517332,3.865444,4095,478,1,1337433330,1383009555,0
GSM,624,2,19,9262,0,11.510829,3.867589,3616,207,1,1337433657,1362811367,0
GSM,624,2,19,36342,0,11.509603,3.867238,3747,432,1,1337433657,1363673211,0
GSM,624,2,19,35003,0,11.516157,3.867383,18434,1768,1,1337433657,1423151010,0
GSM,624,2,19,37513,0,11.522336,3.865037,3695,136,1,1337433801,1408433870,0
GSM,624,2,19,10271,0,11.521425,3.865461,3712,309,1,1337433986,1481263217,0
GSM,624,2,19,36143,0,11.526635,3.865365,4254,553,1,1337433986,1408433870,0
GSM,624,2,19,37512,0,11.521831,3.865548,4388,222,1,1337433986,1408433870,0
GSM,624,2,19,37103,0,11.519833,3.864336,5238,1514,1,1337433986,1408433870,0
GSM,624,2,19,9083,0,11.527203,3.864965,3266,456,1,1337433986,1448462349,0
GSM,624,2,19,10273,0,11.522381,3.866165,3604,139,1,1337434314,1453299525,0
GSM,624,2,65298,9213,0,11.532835,3.869788,2013,33,1,1337434641,1357308716,0
GSM,624,2,18,9401,0,11.542212,3.877193,4136,501,1,1337437270,1472006360,0
GSM,624,2,18,36112,0,11.542876,3.880043,5114,689,1,1337437433,1408433870,0
GSM,624,2,18,9402,0,11.53948,3.876481,2719,355,1,1337437433,1472006360,0
GSM,624,2,18,36442,0,11.539562,3.876865,3438,386,1,1337437763,1408433870,0
GSM,624,2,18,6,0,11.543559,3.883688,5251,357,1,1337437763,1457060194,0
GSM,624,2,18,9403,0,11.538413,3.880438,7296,128,1,1337437763,1472006360,0
GSM,624,2,65298,36133,0,11.5314,3.865065,1890,22,1,1337438812,1358239577,0
GSM,624,2,19,36032,0,11.519745,3.863064,4432,758,1,1337439197,1408433870,0
GSM,624,2,19,9581,0,11.520582,3.860862,3545,2000,1,1337439575,1486287334,0
GSM,624,2,19,192,0,11.51938,3.864359,3835,393,1,1337439575,1471758690,0
GSM,624,2,19,37451,0,11.510364,3.880468,13317,910,1,1337440065,1363602950,0
GSM,624,2,19,10211,0,11.510867,3.879478,13207,613,1,1337440174,1363587725,0
GSM,624,2,19,9103,0,11.509943,3.876727,13113,579,1,1337440234,1361358424,0
GSM,624,2,19,35093,0,11.510345,3.877842,13130,399,1,1337440234,1361978826,0
GSM,624,2,19,10212,0,11.508146,3.878942,13399,271,1,1337440234,1362664367,0
GSM,624,2,19,37452,0,11.506808,3.879482,2938,243,1,1337440234,1362664367,0
GSM,624,2,65299,10211,0,11.507263,3.87989,1735,12,1,1337440387,1359363315,0
GSM,624,2,22,36371,0,11.500695,3.889178,17161,759,1,1337440442,1408433870,0
GSM,624,2,19,10213,0,11.506125,3.880548,2839,236,1,1337440566,1363587725,0
GSM,624,2,22,9124,0,11.498257,3.890543,17120,363,1,1337441557,1470214504,0
GSM,624,2,22,36203,0,11.49879,3.892815,16853,901,1,1337441557,1408433870,0
GSM,624,2,22,23,0,11.499442,3.89275,16834,547,1,1337441557,1483453792,0
GSM,624,2,22,36372,0,11.496232,3.883133,4740,442,1,1337441557,1408433870,0
GSM,624,2,22,9125,0,11.495852,3.883351,4188,315,1,1337441557,1479719084,0
GSM,624,2,22,36373,0,11.498747,3.891718,16969,523,1,1337441722,1383054239,0
GSM,624,2,19,36361,0,11.504331,3.882151,2365,106,1,1337441903,1360576060,0
GSM,624,2,22,36041,0,11.491187,3.873136,6816,525,1,1337442054,1424313872,0
GSM,624,2,19,36363,0,11.501041,3.883023,3632,129,1,1337442054,1361858202,0
GSM,624,2,22,111,0,11.489803,3.87152,5411,310,1,1337442054,1430532925,0
GSM,624,2,19,9102,0,11.511396,3.874826,4638,401,1,1337442449,1361189385,0
GSM,624,2,19,35092,0,11.512934,3.874088,4831,677,1,1337442715,1363341843,0
GSM,624,2,19,35023,0,11.515117,3.872337,12363,608,1,1337442715,1363341843,0
GSM,624,2,19,9583,0,11.515956,3.863302,7317,416,1,1337442715,1484674533,0
GSM,624,2,65299,9102,0,11.511993,3.874283,2403,54,1,1337442842,1359959957,0
GSM,624,2,19,37371,0,11.510691,3.874501,2994,258,1,1337442936,1363341843,0
GSM,624,2,19,9163,0,11.515662,3.871957,5205,831,1,1337443046,1363139126,0
GSM,624,2,19,36341,0,11.51351,3.871285,3680,492,1,1337443046,1363361385,0
GSM,624,2,19,9101,0,11.512702,3.876709,5014,344,1,1337443046,1361337603,0
GSM,624,2,19,37331,0,11.506869,3.877423,2641,86,1,1337443377,1362994971,0
GSM,624,2,19,10102,0,11.507923,3.874925,2940,67,1,1337443377,1363673211,0
GSM,624,2,21,4822,0,11.519331,3.848192,5066,596,1,1337443481,1408433870,0
GSM,624,2,65299,36593,0,11.522598266602,3.8459014892578,1000,1,1,1337423633,1337423633,0
GSM,624,2,19,36591,0,11.521099,3.861291,5689,2000,1,1337443708,1408433870,0
