radio,mcc,mnc,lac,cid,cgi,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region
UMTS,624,2,65534,4097,62402FFFE1001,0,13.724709,4.564557,1000,1,1,1532966796,1532966796,0,POINT (13.724709 4.564557),Bertoua,East
GSM,624,2,65351,16712,62402FF474148,0,15.03822327,12.07054138,1000,1,1,1432283317,1432283317,0,POINT (15.038223266602 12.070541381836),Kousseri,Far North
GSM,624,2,65330,16052,62402FF323EB4,0,11.150633,2.917164,1331,7,1,1376066773,1382618749,0,POINT (11.150633 2.917164),Ebolowa,South
GSM,624,2,65330,16473,62402FF324059,0,11.26853943,2.397079468,1000,1,1,1375879202,1375879202,0,POINT (11.268539428711 2.3970794677734),Ambam,South
GSM,624,2,65330,16561,62402FF3240B1,0,11.150436,2.914124,1000,2,1,1378744136,1379039261,0,POINT (11.150436 2.914124),Ebolowa,South
GSM,624,2,65330,16563,62402FF3240B3,0,11.15181,2.896614,1595,4,1,1375288105,1379662280,0,POINT (11.15181 2.896614),Ebolowa,South
GSM,624,2,65330,40602,62402FF329E9A,0,11.97715759,2.932662964,1000,1,1,1352445345,1352445345,0,POINT (11.977157592773 2.9326629638672),Sangmelima,South
GSM,624,2,65330,41353,62402FF32A189,0,11.15180969,2.899703979,1000,1,1,1382616674,1382616674,0,POINT (11.151809692383 2.8997039794922),Ebolowa,South
GSM,624,2,65320,17112,62402FF2842D8,0,12.90687561,4.005203247,1000,1,1,1419121328,1419121328,0,POINT (12.906875610352 4.0052032470703),Abong Mbang,East
GSM,624,2,65309,33152,62402FF1D8180,0,10.41847229,5.477371216,1000,1,1,1355922127,1355922127,0,POINT (10.418472290039 5.477371215820299),Bafoussam,West
GSM,624,2,65309,33953,62402FF1D84A1,0,10.411606,5.472336,1643,3,1,1355820075,1356066022,0,POINT (10.411606 5.472336),Bafoussam,West
GSM,624,2,65305,7051,62402FF191B8B,0,11.488266,3.848648,1000,6,1,1376987695,1379839406,0,POINT (11.488266 3.848648),Yaounde,Centre
GSM,624,2,65305,7052,62402FF191B8C,0,11.4868927,3.84727478,1000,2,1,1376733275,1376733275,0,POINT (11.486892700195 3.8472747802734),Yaounde,Centre
GSM,624,2,65305,9003,62402FF19232B,0,11.493301,3.859177,1000,3,1,1376777518,1379239812,0,POINT (11.493301 3.859177),Yaounde,Centre
GSM,624,2,65305,9421,62402FF1924CD,0,11.5019989,3.862380981,1000,1,1,1378303554,1378303554,0,POINT (11.501998901367 3.8623809814453),Yaounde,Centre
GSM,624,2,65305,9422,62402FF1924CE,0,11.5019989,3.862380981,1000,3,1,1377712116,1419132825,0,POINT (11.501998901367 3.8623809814453),Yaounde,Centre
GSM,624,2,65305,9521,62402FF192531,0,11.500626,3.844299,1000,6,1,1375481984,1408592685,0,POINT (11.500626 3.844299),Yaounde,Centre
GSM,624,2,65305,9593,62402FF192579,0,11.501312,3.848648,1000,4,1,1379701273,1419319376,0,POINT (11.501312 3.848648),Yaounde,Centre
GSM,624,2,65305,9922,62402FF1926C2,0,11.49513245,3.845901489,1000,1,1,1379511723,1379511723,0,POINT (11.495132446289 3.8459014892578),Yaounde,Centre
GSM,624,2,65305,10111,62402FF19277F,0,11.50502,3.859909,1000,10,1,1378928619,1419132220,0,POINT (11.50502 3.859909),Yaounde,Centre
GSM,624,2,65305,10112,62402FF192780,0,11.50474548,3.858261108,1000,2,1,1377732084,1381889780,0,POINT (11.504745483398 3.8582611083984),Yaounde,Centre
GSM,624,2,65305,10221,62402FF1927ED,0,11.508179,3.854828,1000,4,1,1375771594,1381153079,0,POINT (11.508179 3.854828),Yaounde,Centre
GSM,624,2,65305,10222,62402FF1927EE,0,11.508179,3.854141,1000,2,1,1375808736,1382663430,0,POINT (11.508179 3.854141),Yaounde,Centre
GSM,624,2,65305,36231,62402FF198D87,0,11.4868927,3.848648071,1000,2,1,1376950294,1377143461,0,POINT (11.486892700195 3.8486480712891),Yaounde,Centre
GSM,624,2,65305,36521,62402FF198EA9,0,11.50062561,3.843154907,1000,1,1,1408592685,1408592685,0,POINT (11.500625610352 3.8431549072266),Yaounde,Centre
GSM,624,2,65305,36522,62402FF198EAA,0,11.50062561,3.841781616,1000,1,1,1378915822,1378915822,0,POINT (11.500625610352 3.8417816162109),Yaounde,Centre
GSM,624,2,65305,37341,62402FF1991DD,0,11.505089,3.859634,1000,4,1,1378276809,1381055933,0,POINT (11.505089 3.859634),Yaounde,Centre
GSM,624,2,65305,37461,62402FF199255,0,11.508179,3.854141,1000,2,1,1381173238,1382663430,0,POINT (11.508179 3.854141),Yaounde,Centre
GSM,624,2,65305,37462,62402FF199256,0,11.508179,3.854141,1000,2,1,1377760907,1381153079,0,POINT (11.508179 3.854141),Yaounde,Centre
GSM,624,2,65305,37702,62402FF199346,0,11.48002625,3.852767944,1000,1,1,1378395331,1378395331,0,POINT (11.480026245117 3.8527679443359),Yaounde,Centre
GSM,624,2,65304,3702,62402FF18E76,0,10.92384338,3.863754272,1000,1,1,1350478014,1350478014,0,POINT (10.923843383789 3.8637542724609),Eseka,Centre
GSM,624,2,65304,16041,62402FF183EA9,0,11.510239,3.513908,2523,4,1,1375639468,1380203675,0,POINT (11.510239 3.513908),Mbalmayo,Centre
GSM,624,2,65303,62,62402FF173E,0,11.51847839,3.836288452,1000,3,1,1380293514,1382498702,0,POINT (11.518478393555 3.8362884521484),Yaounde,Centre
GSM,624,2,65303,63,62402FF173F,0,11.515045,3.837662,1000,2,1,1378926901,1381199818,0,POINT (11.515045 3.837662),Yaounde,Centre
GSM,624,2,65303,4261,62402FF1710A5,0,11.515457,3.846725,1000,5,1,1376293445,1381480260,0,POINT (11.515457 3.846725),Yaounde,Centre
GSM,624,2,65303,4262,62402FF1710A6,0,11.514908,3.845627,1000,5,1,1375272005,1408969559,0,POINT (11.514908 3.845626999999999),Yaounde,Centre
GSM,624,2,65303,4263,62402FF1710A7,0,11.514587,3.847961,1362,12,1,1376183853,1408722254,0,POINT (11.514587 3.847961),Yaounde,Centre
GSM,624,2,65303,7000,62402FF171B58,0,11.50749207,3.79234314,1000,1,1,1377925294,1377925294,0,POINT (11.50749206543 3.7923431396484),Yaounde,Centre
GSM,624,2,65303,7011,62402FF171B63,0,11.502914,3.823013,1000,3,1,1379480515,1380109761,0,POINT (11.502914 3.823013),Yaounde,Centre
GSM,624,2,65303,7012,62402FF171B64,0,11.50474548,3.825302124,1000,2,1,1379233825,1381939552,0,POINT (11.504745483398 3.8253021240234),Yaounde,Centre
GSM,624,2,65303,9231,62402FF17240F,0,11.517105,3.82515,1000,9,1,1376853447,1382813683,0,POINT (11.517105 3.82515),Yaounde,Centre
GSM,624,2,65303,9232,62402FF172410,0,11.515732,3.823242,1000,2,1,1382966201,1382966201,0,POINT (11.515732 3.823242),Yaounde,Centre
GSM,624,2,65303,9501,62402FF17251D,0,11.506119,3.834229,1000,2,1,1378017247,1378046501,0,POINT (11.506119 3.834229),Yaounde,Centre
GSM,624,2,65303,9502,62402FF17251E,0,11.50474548,3.829421997,1000,1,1,1379395126,1379395126,0,POINT (11.504745483398 3.8294219970703),Yaounde,Centre
GSM,624,2,65303,9773,62402FF17262D,0,11.52809143,3.800582886,1000,1,1,1378040096,1378040096,0,POINT (11.528091430664 3.8005828857422),Yaounde,Centre
GSM,624,2,65303,9801,62402FF172649,0,11.508865,3.819122,1000,2,1,1376381801,1376764155,0,POINT (11.508865 3.819122),Yaounde,Centre
GSM,624,2,65303,9893,62402FF1726A5,0,11.50886536,3.843154907,1000,1,1,1376927877,1376927877,0,POINT (11.508865356445 3.8431549072266),Yaounde,Centre
GSM,624,2,65303,9993,62402FF172709,0,11.52259827,3.79234314,1000,1,1,1379521990,1379521990,0,POINT (11.522598266602 3.7923431396484),Yaounde,Centre
GSM,624,2,65303,10301,62402FF17283D,0,11.52534485,3.817062378,1000,2,1,1381305936,1381372581,0,POINT (11.525344848633 3.8170623779297),Yaounde,Centre
GSM,624,2,65303,36052,62402FF178CD4,0,11.51847839,3.836288452,1000,1,1,1381885448,1381885448,0,POINT (11.518478393555 3.8362884521484),Yaounde,Centre
GSM,624,2,65303,36053,62402FF178CD5,0,11.526031,3.864441,1000,2,1,1380592641,1380592641,0,POINT (11.526031 3.864441),Yaounde,Centre
GSM,624,2,65303,36063,62402FF178CDF,0,11.51435852,3.848648071,1000,1,1,1377770491,1377770491,0,POINT (11.514358520508 3.8486480712891),Yaounde,Centre
GSM,624,2,65303,36751,62402FF178F8F,0,11.5019989,3.808822632,1000,1,1,1379149927,1379149927,0,POINT (11.501998901367 3.8088226318359),Yaounde,Centre
GSM,624,2,65303,36901,62402FF179025,0,11.517105,3.82513,1000,8,1,1377300425,1381939958,0,POINT (11.517105 3.82513),Yaounde,Centre
GSM,624,2,65303,36902,62402FF179026,0,11.51573181,3.823928833,1000,2,1,1375130302,1379772922,0,POINT (11.515731811523 3.8239288330078),Yaounde,Centre
GSM,624,2,65303,37011,62402FF179093,0,11.52946472,3.801956177,1000,1,1,1379097781,1379097781,0,POINT (11.52946472168 3.8019561767578),Yaounde,Centre
GSM,624,2,65302,4805,62402FF1612C5,0,11.497421,3.866043,1048,6,1,1346422020,1379675811,0,POINT (11.497421 3.866043),Yaounde,Centre
GSM,624,2,65302,4806,62402FF1612C6,0,11.496277,3.867188,1081,6,1,1351970955,1383099137,0,POINT (11.496277 3.867188),Yaounde,Centre
GSM,624,2,65302,9052,62402FF16235C,0,11.50749207,3.895339966,1000,1,1,1377965469,1377965469,0,POINT (11.50749206543 3.8953399658203),Yaounde,Centre
GSM,624,2,65302,9125,62402FF1623A5,0,11.494446,3.893967,1000,2,1,1341745190,1354447996,0,POINT (11.494446 3.893967),Yaounde,Centre
GSM,624,2,65302,9126,62402FF1623A6,0,11.49238586,3.891220093,1000,1,1,1345297960,1345297960,0,POINT (11.492385864258 3.8912200927734),Yaounde,Centre
GSM,624,2,65302,9421,62402FF1624CD,0,11.5019989,3.862380981,1000,1,1,1359121419,1359121419,0,POINT (11.501998901367 3.8623809814453),Yaounde,Centre
GSM,624,2,65302,9423,62402FF1624CF,0,11.50062561,3.863754272,1000,1,1,1349099435,1349099435,0,POINT (11.500625610352 3.8637542724609),Yaounde,Centre
GSM,624,2,65302,9531,62402FF16253B,0,11.499939,3.882294,1000,2,1,1346483224,1347265848,0,POINT (11.499939 3.882294),Yaounde,Centre
GSM,624,2,65302,9532,62402FF16253C,0,11.49238586,3.880233765,1000,1,1,1340108160,1340108160,0,POINT (11.492385864258 3.8802337646484),Yaounde,Centre
GSM,624,2,65302,9533,62402FF16253D,0,11.48551941,3.869247437,1000,1,1,1345300224,1345300224,0,POINT (11.48551940918 3.8692474365234),Yaounde,Centre
GSM,624,2,65302,10282,62402FF16282A,0,11.48551941,3.877487183,1000,1,1,1378899225,1378899225,0,POINT (11.48551940918 3.8774871826172),Yaounde,Centre
GSM,624,2,65302,10283,62402FF16282B,0,11.48551941,3.878860474,1000,2,1,1360526795,1380541422,0,POINT (11.48551940918 3.8788604736328),Yaounde,Centre
GSM,624,2,65302,10311,62402FF162847,0,11.498062,3.864487,2746,15,1,1345448705,1408635883,0,POINT (11.498062 3.864487),Yaounde,Centre
GSM,624,2,65302,10312,62402FF162848,0,11.494064,3.862305,1581,18,1,1358849418,1409035702,0,POINT (11.494064 3.862305),Yaounde,Centre
GSM,624,2,65302,10382,62402FF16288E,0,11.493436,3.883223,1000,17,1,1355656477,1382929964,0,POINT (11.493436 3.883223000000001),Yaounde,Centre
