radio,mcc,mnc,lac,cid,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region,location,d_nearest_road
UMTS,624,2,65534,4097,0,13.724709,4.564557,1000,1,1,1532966796,1532966796,0,POINT (13.724709 4.564557),Bertoua,East,urban,0.000398277
GSM,624,2,65351,16712,0,15.03822327,12.07054138,1000,1,1,1432283317,1432283317,0,POINT (15.038223266602 12.070541381836),Kousseri,Far North,rural,0.000519587
GSM,624,2,65330,16052,0,11.150633,2.917164,1331,7,1,1376066773,1382618749,0,POINT (11.150633 2.917164),Ebolowa,South,urban,0.000466451
GSM,624,2,65330,16473,0,11.26853943,2.397079468,1000,1,1,1375879202,1375879202,0,POINT (11.268539428711 2.3970794677734),Ambam,South,rural,0.001463207
GSM,624,2,65330,16561,0,11.150436,2.914124,1000,2,1,1378744136,1379039261,0,POINT (11.150436 2.914124),Ebolowa,South,urban,0.002315708
GSM,624,2,65330,16563,0,11.15181,2.896614,1595,4,1,1375288105,1379662280,0,POINT (11.15181 2.896614),Ebolowa,South,urban,0.00374015
GSM,624,2,65330,40602,0,11.97715759,2.932662964,1000,1,1,1352445345,1352445345,0,POINT (11.977157592773 2.9326629638672),Sangmelima,South,rural,0.000749511
GSM,624,2,65330,41353,0,11.15180969,2.899703979,1000,1,1,1382616674,1382616674,0,POINT (11.151809692383 2.8997039794922),Ebolowa,South,urban,0.002383973
GSM,624,2,65320,17112,0,12.90687561,4.005203247,1000,1,1,1419121328,1419121328,0,POINT (12.906875610352 4.0052032470703),Abong Mbang,East,rural,0.001337373
GSM,624,2,65309,33152,0,10.41847229,5.477371216,1000,1,1,1355922127,1355922127,0,POINT (10.418472290039 5.477371215820299),Bafoussam,West,urban,0.001376471
GSM,624,2,65309,33953,0,10.411606,5.472336,1643,3,1,1355820075,1356066022,0,POINT (10.411606 5.472336),Bafoussam,West,urban,0.000299273
GSM,624,2,65305,7051,0,11.488266,3.848648,1000,6,1,1376987695,1379839406,0,POINT (11.488266 3.848648),Yaounde,Centre,urban,0.001319104
GSM,624,2,65305,7052,0,11.4868927,3.84727478,1000,2,1,1376733275,1376733275,0,POINT (11.486892700195 3.8472747802734),Yaounde,Centre,urban,0.000675736
GSM,624,2,65305,9003,0,11.493301,3.859177,1000,3,1,1376777518,1379239812,0,POINT (11.493301 3.859177),Yaounde,Centre,urban,0.002448538
GSM,624,2,65305,9421,0,11.5019989,3.862380981,1000,1,1,1378303554,1378303554,0,POINT (11.501998901367 3.8623809814453),Yaounde,Centre,urban,0.002766279
GSM,624,2,65305,9422,0,11.5019989,3.862380981,1000,3,1,1377712116,1419132825,0,POINT (11.501998901367 3.8623809814453),Yaounde,Centre,urban,0.001146019
GSM,624,2,65305,9521,0,11.500626,3.844299,1000,6,1,1375481984,1408592685,0,POINT (11.500626 3.844299),Yaounde,Centre,urban,0.002126962
GSM,624,2,65305,9593,0,11.501312,3.848648,1000,4,1,1379701273,1419319376,0,POINT (11.501312 3.848648),Yaounde,Centre,urban,0.008789769
GSM,624,2,65305,9922,0,11.49513245,3.845901489,1000,1,1,1379511723,1379511723,0,POINT (11.495132446289 3.8459014892578),Yaounde,Centre,urban,0.000293758
GSM,624,2,65305,10111,0,11.50502,3.859909,1000,10,1,1378928619,1419132220,0,POINT (11.50502 3.859909),Yaounde,Centre,urban,0.000917166
GSM,624,2,65305,10112,0,11.50474548,3.858261108,1000,2,1,1377732084,1381889780,0,POINT (11.504745483398 3.8582611083984),Yaounde,Centre,urban,0.002787049
GSM,624,2,65305,10221,0,11.508179,3.854828,1000,4,1,1375771594,1381153079,0,POINT (11.508179 3.854828),Yaounde,Centre,urban,0.002190017
GSM,624,2,65305,10222,0,11.508179,3.854141,1000,2,1,1375808736,1382663430,0,POINT (11.508179 3.854141),Yaounde,Centre,urban,0.006899409
GSM,624,2,65305,36231,0,11.4868927,3.848648071,1000,2,1,1376950294,1377143461,0,POINT (11.486892700195 3.8486480712891),Yaounde,Centre,urban,0.002394997
GSM,624,2,65305,36521,0,11.50062561,3.843154907,1000,1,1,1408592685,1408592685,0,POINT (11.500625610352 3.8431549072266),Yaounde,Centre,urban,0.001527327
GSM,624,2,65305,36522,0,11.50062561,3.841781616,1000,1,1,1378915822,1378915822,0,POINT (11.500625610352 3.8417816162109),Yaounde,Centre,urban,0.002902586
GSM,624,2,65305,37341,0,11.505089,3.859634,1000,4,1,1378276809,1381055933,0,POINT (11.505089 3.859634),Yaounde,Centre,urban,0.001517077
GSM,624,2,65305,37461,0,11.508179,3.854141,1000,2,1,1381173238,1382663430,0,POINT (11.508179 3.854141),Yaounde,Centre,urban,0.004201214
GSM,624,2,65305,37462,0,11.508179,3.854141,1000,2,1,1377760907,1381153079,0,POINT (11.508179 3.854141),Yaounde,Centre,urban,0.00551193
GSM,624,2,65305,37702,0,11.48002625,3.852767944,1000,1,1,1378395331,1378395331,0,POINT (11.480026245117 3.8527679443359),Yaounde,Centre,urban,0.003473242
GSM,624,2,65304,3702,0,10.92384338,3.863754272,1000,1,1,1350478014,1350478014,0,POINT (10.923843383789 3.8637542724609),Eseka,Centre,rural,0.000616798
GSM,624,2,65304,16041,0,11.510239,3.513908,2523,4,1,1375639468,1380203675,0,POINT (11.510239 3.513908),Mbalmayo,Centre,rural,0.003036461
GSM,624,2,65303,62,0,11.51847839,3.836288452,1000,3,1,1380293514,1382498702,0,POINT (11.518478393555 3.8362884521484),Yaounde,Centre,urban,0.000819088
GSM,624,2,65303,63,0,11.515045,3.837662,1000,2,1,1378926901,1381199818,0,POINT (11.515045 3.837662),Yaounde,Centre,urban,0.002860804
